i,0,1,2,3,4,5,6,7,8,9,10
858,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
859,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
860,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
861,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
862,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
863,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
864,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
865,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN
866,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
867,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
868,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
869,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN
870,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
871,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
872,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
873,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
874,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
875,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
876,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
877,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
878,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
879,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
880,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
881,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
882,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
883,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
884,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
885,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
886,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
887,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN
888,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
889,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
890,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
891,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
892,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
893,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
894,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
895,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
896,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
897,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
898,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
899,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
900,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
901,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
902,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
903,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
904,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
905,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
906,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
