i,0,1,2,3,4,5,6,7,8,9,10
579,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
580,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
581,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN
582,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
583,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
584,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
585,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
586,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
587,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN
588,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
589,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
590,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
591,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
592,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN
593,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
594,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
595,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
596,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
597,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
598,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
599,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
600,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
601,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
602,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
603,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
604,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
605,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
606,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
607,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN
608,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
609,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
610,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN
611,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
612,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
613,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
614,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
615,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
616,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
617,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
618,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
619,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
620,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
621,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN
622,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
623,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
624,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
625,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
626,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
627,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
