,i,g,status
310,28,2,TP
311,28,3,TP
312,28,4,TP
313,28,5,TP
314,28,6,TP
315,28,7,TP
316,28,8,TP
317,28,9,FN
318,28,10,FN
319,29,0,FP
320,29,1,FP
321,29,2,FP
322,29,3,FP
323,29,4,TN
324,29,5,TN
325,29,6,TN
326,29,7,TN
327,29,8,TN
328,29,9,TN
329,29,10,TN
330,30,0,FP
331,30,1,FP
332,30,2,FP
333,30,3,FP
334,30,4,FP
335,30,5,TN
336,30,6,TN
337,30,7,TN
338,30,8,TN
339,30,9,TN
340,30,10,TN
341,31,0,FP
342,31,1,FP
343,31,2,FP
344,31,3,FP
345,31,4,FP
346,31,5,FP
347,31,6,TN
348,31,7,TN
349,31,8,TN
350,31,9,TN
351,31,10,TN
352,32,0,FP
353,32,1,FP
354,32,2,FP
355,32,3,FP
356,32,4,FP
357,32,5,FP
358,32,6,FP
359,32,7,TN
360,32,8,TN
361,32,9,TN
362,32,10,TN
363,33,0,FP
364,33,1,FP
365,33,2,FP
366,33,3,FP
367,33,4,FP
368,33,5,TN
369,33,6,TN
370,33,7,TN
371,33,8,TN
372,33,9,TN
373,33,10,TN
374,34,0,TP
375,34,1,TP
376,34,2,TP
377,34,3,TP
378,34,4,TP
379,34,5,TP
380,34,6,TP
381,34,7,TP
382,34,8,FN
383,34,9,FN
384,34,10,FN
385,35,0,FP
386,35,1,FP
387,35,2,FP
388,35,3,FP
389,35,4,FP
390,35,5,FP
391,35,6,TN
392,35,7,TN
393,35,8,TN
394,35,9,TN
395,35,10,TN
396,36,0,FP
397,36,1,FP
398,36,2,FP
399,36,3,FP
400,36,4,TN
401,36,5,TN
402,36,6,TN
403,36,7,TN
404,36,8,TN
405,36,9,TN
406,36,10,TN
407,37,0,FP
408,37,1,FP
409,37,2,FP
410,37,3,FP
411,37,4,TN
412,37,5,TN
413,37,6,TN
414,37,7,TN
415,37,8,TN
416,37,9,TN
417,37,10,TN
418,38,0,FP
419,38,1,FP
420,38,2,TN
421,38,3,TN
422,38,4,TN
423,38,5,TN
424,38,6,TN
425,38,7,TN
426,38,8,TN
427,38,9,TN
428,38,10,TN
429,39,0,TP
430,39,1,TP
431,39,2,TP
432,39,3,TP
433,39,4,TP
434,39,5,TP
435,39,6,TP
436,39,7,TP
437,39,8,FN
438,39,9,FN
439,39,10,FN
440,40,0,FP
441,40,1,FP
442,40,2,FP
443,40,3,FP
444,40,4,FP
445,40,5,FP
446,40,6,TN
447,40,7,TN
448,40,8,TN
449,40,9,TN
450,40,10,TN
451,41,0,FP
452,41,1,FP
453,41,2,FP
454,41,3,FP
455,41,4,FP
456,41,5,FP
457,41,6,FP
458,41,7,FP
459,41,8,TN
460,41,9,TN
461,41,10,TN
462,42,0,FP
463,42,1,FP
464,42,2,FP
465,42,3,TN
466,42,4,TN
467,42,5,TN
468,42,6,TN
469,42,7,TN
470,42,8,TN
471,42,9,TN
472,42,10,TN
473,43,0,FP
474,43,1,FP
475,43,2,FP
476,43,3,FP
477,43,4,TN
478,43,5,TN
479,43,6,TN
480,43,7,TN
481,43,8,TN
482,43,9,TN
483,43,10,TN
484,44,0,FP
485,44,1,FP
486,44,2,FP
487,44,3,TN
488,44,4,TN
489,44,5,TN
490,44,6,TN
491,44,7,TN
492,44,8,TN
493,44,9,TN
494,44,10,TN
495,45,0,FP
496,45,1,FP
497,45,2,FP
498,45,3,FP
499,45,4,FP
500,45,5,FP
501,45,6,TN
502,45,7,TN
503,45,8,TN
504,45,9,TN
505,45,10,TN
506,46,0,FP
507,46,1,FP
508,46,2,FP
509,46,3,FP
510,46,4,FP
511,46,5,FP
512,46,6,FP
513,46,7,TN
514,46,8,TN
515,46,9,TN
516,46,10,TN
517,47,0,FP
518,47,1,FP
519,47,2,FP
520,47,3,FP
521,47,4,TN
522,47,5,TN
523,47,6,TN
524,47,7,TN
525,47,8,TN
526,47,9,TN
527,47,10,TN
528,48,0,TP
529,48,1,TP
530,48,2,TP
531,48,3,TP
532,48,4,TP
533,48,5,TP
534,48,6,TP
535,48,7,TP
536,48,8,FN
537,48,9,FN
538,48,10,FN
539,49,0,FP
540,49,1,FP
541,49,2,FP
542,49,3,FP
543,49,4,FP
544,49,5,FP
545,49,6,FP
546,49,7,TN
547,49,8,TN
548,49,9,TN
549,49,10,TN
550,50,0,FP
551,50,1,FP
552,50,2,FP
553,50,3,FP
554,50,4,TN
555,50,5,TN
556,50,6,TN
557,50,7,TN
558,50,8,TN
559,50,9,TN
560,50,10,TN
561,51,0,FP
562,51,1,FP
563,51,2,FP
564,51,3,TN
565,51,4,TN
566,51,5,TN
567,51,6,TN
568,51,7,TN
569,51,8,TN
570,51,9,TN
571,51,10,TN
572,52,0,TP
573,52,1,TP
574,52,2,TP
575,52,3,TP
576,52,4,TP
577,52,5,TP
578,52,6,TP
579,52,7,TP
580,52,8,TP
581,52,9,TP
582,52,10,FN
583,53,0,TP
584,53,1,TP
585,53,2,TP
586,53,3,TP
587,53,4,TP
588,53,5,TP
589,53,6,TP
590,53,7,TP
591,53,8,TP
592,53,9,TP
593,53,10,FN
594,54,0,FP
595,54,1,FP
596,54,2,FP
597,54,3,FP
598,54,4,FP
599,54,5,FP
600,54,6,TN
601,54,7,TN
602,54,8,TN
603,54,9,TN
604,54,10,TN
605,55,0,FP
606,55,1,FP
607,55,2,FP
608,55,3,FP
609,55,4,FP
610,55,5,FP
611,55,6,FP
612,55,7,TN
613,55,8,TN
614,55,9,TN
615,55,10,TN
616,56,0,FP
617,56,1,FP
618,56,2,FP
619,56,3,FP
620,56,4,TN
621,56,5,TN
622,56,6,TN
623,56,7,TN
624,56,8,TN
625,56,9,TN
626,56,10,TN
627,57,0,FP
628,57,1,FP
629,57,2,FP
630,57,3,TN
631,57,4,TN
632,57,5,TN
633,57,6,TN
634,57,7,TN
635,57,8,TN
636,57,9,TN
637,57,10,TN
638,58,0,FP
639,58,1,FP
640,58,2,TN
641,58,3,TN
642,58,4,TN
643,58,5,TN
644,58,6,TN
645,58,7,TN
646,58,8,TN
647,58,9,TN
648,58,10,TN
649,59,0,TP
650,59,1,TP
651,59,2,TP
652,59,3,TP
653,59,4,TP
654,59,5,FN
655,59,6,FN
656,59,7,FN
657,59,8,FN
658,59,9,FN
659,59,10,FN
660,60,0,TP
661,60,1,TP
662,60,2,TP
663,60,3,TP
664,60,4,TP
665,60,5,TP
666,60,6,TP
667,60,7,TP
668,60,8,TP
669,60,9,FN
670,60,10,FN
671,61,0,TP
672,61,1,TP
673,61,2,TP
674,61,3,TP
675,61,4,TP
676,61,5,TP
677,61,6,TP
678,61,7,TP
679,61,8,TP
680,61,9,TP
681,61,10,FN
682,62,0,TP
683,62,1,TP
684,62,2,TP
685,62,3,TP
686,62,4,TP
687,62,5,TP
688,62,6,FN
689,62,7,FN
690,62,8,FN
691,62,9,FN
692,62,10,FN
693,63,0,TP
694,63,1,TP
695,63,2,TP
696,63,3,TP
697,63,4,TP
698,63,5,TP
699,63,6,TP
700,63,7,TP
701,63,8,TP
702,63,9,TP
703,63,10,FN
704,64,0,TP
705,64,1,TP
706,64,2,TP
707,64,3,TP
708,64,4,TP
709,64,5,TP
710,64,6,TP
711,64,7,TP
712,64,8,TP
713,64,9,TP
714,64,10,FN
715,65,0,TP
716,65,1,TP
717,65,2,TP
718,65,3,TP
719,65,4,TP
720,65,5,TP
721,65,6,TP
722,65,7,TP
723,65,8,TP
724,65,9,FN
725,65,10,FN
726,66,0,TP
727,66,1,TP
728,66,2,TP
729,66,3,TP
730,66,4,TP
731,66,5,TP
732,66,6,FN
733,66,7,FN
734,66,8,FN
735,66,9,FN
736,66,10,FN
737,67,0,TP
738,67,1,TP
739,67,2,TP
740,67,3,TP
741,67,4,FN
742,67,5,FN
743,67,6,FN
744,67,7,FN
745,67,8,FN
746,67,9,FN
747,67,10,FN
748,68,0,FP
749,68,1,FP
750,68,2,FP
751,68,3,FP
752,68,4,FP
753,68,5,FP
754,68,6,TN
755,68,7,TN
756,68,8,TN
757,68,9,TN
758,68,10,TN
759,69,0,FP
760,69,1,FP
761,69,2,FP
762,69,3,FP
763,69,4,TN
764,69,5,TN
765,69,6,TN
766,69,7,TN
767,69,8,TN
768,69,9,TN
769,69,10,TN
770,70,0,FP
771,70,1,FP
772,70,2,FP
773,70,3,FP
774,70,4,FP
775,70,5,FP
776,70,6,TN
777,70,7,TN
778,70,8,TN
779,70,9,TN
780,70,10,TN
781,71,0,FP
782,71,1,FP
783,71,2,FP
784,71,3,FP
785,71,4,TN
786,71,5,TN
787,71,6,TN
788,71,7,TN
789,71,8,TN
790,71,9,TN
791,71,10,TN
792,72,0,FP
793,72,1,FP
794,72,2,FP
795,72,3,FP
796,72,4,FP
797,72,5,FP
798,72,6,FP
799,72,7,FP
800,72,8,TN
801,72,9,TN
802,72,10,TN
803,73,0,TP
804,73,1,TP
805,73,2,TP
806,73,3,TP
807,73,4,TP
808,73,5,TP
809,73,6,TP
810,73,7,TP
811,73,8,FN
812,73,9,FN
813,73,10,FN
814,74,0,TP
815,74,1,TP
816,74,2,TP
817,74,3,TP
818,74,4,TP
819,74,5,TP
820,74,6,TP
821,74,7,TP
822,74,8,TP
823,74,9,TP
824,74,10,FN
825,75,0,TP
826,75,1,TP
827,75,2,TP
828,75,3,TP
829,75,4,TP
830,75,5,TP
831,75,6,TP
832,75,7,TP
833,75,8,TP
834,75,9,TP
835,75,10,FN
836,76,0,TP
837,76,1,TP
838,76,2,TP
839,76,3,TP
840,76,4,TP
841,76,5,TP
842,76,6,FN
843,76,7,FN
844,76,8,FN
845,76,9,FN
846,76,10,FN
847,77,0,FP
848,77,1,FP
849,77,2,FP
850,77,3,TN
851,77,4,TN
852,77,5,TN
853,77,6,TN
854,77,7,TN
855,77,8,TN
856,77,9,TN
857,77,10,TN
858,78,0,FP
859,78,1,FP
860,78,2,FP
861,78,3,TN
862,78,4,TN
863,78,5,TN
864,78,6,TN
865,78,7,TN
866,78,8,TN
867,78,9,TN
868,78,10,TN
869,79,0,TP
870,79,1,TP
871,79,2,TP
872,79,3,TP
873,79,4,TP
874,79,5,TP
875,79,6,TP
876,79,7,TP
877,79,8,TP
878,79,9,TP
879,79,10,FN
880,80,0,FP
881,80,1,FP
882,80,2,FP
883,80,3,FP
884,80,4,FP
885,80,5,TN
886,80,6,TN
887,80,7,TN
888,80,8,TN
889,80,9,TN
890,80,10,TN
891,81,0,TP
892,81,1,TP
893,81,2,TP
894,81,3,TP
895,81,4,TP
896,81,5,FN
897,81,6,FN
898,81,7,FN
899,81,8,FN
900,81,9,FN
901,81,10,FN
902,82,0,FP
903,82,1,FP
904,82,2,FP
905,82,3,FP
906,82,4,FP
907,82,5,FP
908,82,6,FP
909,82,7,FP
910,82,8,TN
911,82,9,TN
912,82,10,TN
913,83,0,FP
914,83,1,FP
