,prec,rec,acc,f1,TP,TN,FP,FN
0,0.270999999999729,0.99999999999631,0.270999999999729,0.4264358769258153,271,0,729,0
1,0.27127127127099976,0.99999999999631,0.271999999999728,0.4267716532069304,271,1,728,0
2,0.274949083502775,0.9963099630959547,0.286999999999713,0.4309656820226356,270,17,712,1
3,0.30419977298489875,0.9889298892952438,0.383999999999616,0.4652777774171624,268,116,613,3
4,0.37409024745214836,0.9483394833913346,0.555999999999444,0.536534446357253,257,299,430,14
5,0.4450651769079235,0.8819188191849376,0.66999999999933,0.5915841579685662,239,431,298,32
6,0.5722070844671057,0.7749077490746313,0.781999999999218,0.658307209540605,210,572,157,61
7,0.6874999999973145,0.6494464944625482,0.8249999999991751,0.6679316883024243,176,649,80,95
8,0.9999999999918032,0.4501845018433573,0.850999999999149,0.6208651395178214,122,729,0,149
9,0.9999999999846153,0.2398523985231002,0.793999999999206,0.3869047615904018,65,729,0,206
10,0.0,0.0,0.728999999999271,0.0,0,729,0,271
