,prec,rec,acc,f1,TP,TN,FP,FN
0,0.307999999999692,0.9999999999967533,0.307999999999692,0.4709480118716438,308,0,692,0
1,0.307999999999692,0.9999999999967533,0.307999999999692,0.4709480118716438,308,0,692,0
2,0.3117408906879436,0.9999999999967533,0.31999999999968,0.47530864161222564,308,12,680,0
3,0.3175257731955489,0.9999999999967533,0.337999999999662,0.4820031295238599,308,30,662,0
4,0.3392461197335485,0.9935064935032679,0.401999999999598,0.505785123586602,306,96,596,2
5,0.36211031175016534,0.980519480516297,0.461999999999538,0.5288966721095262,302,160,532,6
6,0.3793969849241465,0.980519480516297,0.4999999999995,0.547101448872066,302,198,494,6
7,0.40134228187865595,0.9707792207760689,0.544999999999455,0.5679012341529371,299,246,446,9
8,0.4248554913288658,0.9545454545423554,0.587999999999412,0.5879999995725519,294,294,398,14
9,0.4644012944976304,0.9318181818151565,0.647999999999352,0.6198704099218684,287,361,331,21
10,0.5092592592583162,0.892857142854244,0.701999999999298,0.6485849051962721,275,427,265,33
11,0.5758928571415717,0.8376623376596181,0.7599999999992401,0.6825396820550237,258,502,190,50
12,0.715596330273041,0.759740259737793,0.832999999999167,0.7370078735138744,234,599,93,74
13,0.9999999999951457,0.6688311688289973,0.897999999999102,0.801556419750034,206,692,0,102
14,0.9999999999946237,0.6038961038941432,0.877999999999122,0.7530364367744102,186,692,0,122
15,0.999999999993671,0.5129870129853474,0.84999999999915,0.6781115875317283,158,692,0,150
16,0.9999999999911504,0.3668831168819257,0.804999999999195,0.5368171017424861,113,692,0,195
17,0.9999999999864865,0.2402597402589602,0.765999999999234,0.38743455465941173,74,692,0,234
18,0.9999999999714286,0.11363636363599469,0.726999999999273,0.20408163246861424,35,692,0,273
19,0.9999999999285715,0.04545454545439788,0.705999999999294,0.08695652165541454,14,692,0,294
20,0.0,0.0,0.6919999999993081,0.0,0,692,0,308
