,i,g,status
0,0,0,TP
1,0,1,TP
2,0,2,TP
3,0,3,TP
4,0,4,TP
5,0,5,TP
6,0,6,TP
7,0,7,TP
8,0,8,TP
9,0,9,TP
10,0,10,TP
11,0,11,TP
12,0,12,TP
13,0,13,TP
14,0,14,TP
15,0,15,TP
16,0,16,TP
17,0,17,TP
18,0,18,TP
19,0,19,TP
20,0,20,TP
21,0,21,TP
22,0,22,TP
23,0,23,TP
24,0,24,TP
25,0,25,TP
26,0,26,TP
27,0,27,TP
28,0,28,TP
29,0,29,TP
30,0,30,TP
31,0,31,TP
32,0,32,TP
33,0,33,TP
34,0,34,TP
35,0,35,FN
36,0,36,FN
37,0,37,FN
38,0,38,FN
39,0,39,FN
40,0,40,FN
41,1,0,FP
42,1,1,FP
43,1,2,FP
44,1,3,FP
45,1,4,FP
46,1,5,FP
47,1,6,FP
48,1,7,FP
49,1,8,FP
50,1,9,FP
51,1,10,FP
52,1,11,FP
53,1,12,FP
54,1,13,FP
55,1,14,FP
56,1,15,FP
57,1,16,FP
58,1,17,FP
59,1,18,FP
60,1,19,FP
61,1,20,FP
62,1,21,FP
63,1,22,FP
64,1,23,FP
65,1,24,FP
66,1,25,FP
67,1,26,FP
68,1,27,TN
69,1,28,TN
70,1,29,TN
71,1,30,TN
72,1,31,TN
73,1,32,TN
74,1,33,TN
75,1,34,TN
76,1,35,TN
77,1,36,TN
78,1,37,TN
79,1,38,TN
80,1,39,TN
81,1,40,TN
82,2,0,FP
83,2,1,FP
84,2,2,FP
85,2,3,FP
86,2,4,FP
87,2,5,FP
88,2,6,FP
89,2,7,FP
90,2,8,FP
91,2,9,FP
92,2,10,FP
93,2,11,FP
94,2,12,FP
95,2,13,FP
96,2,14,FP
97,2,15,FP
98,2,16,FP
99,2,17,FP
100,2,18,FP
101,2,19,FP
102,2,20,TN
103,2,21,TN
104,2,22,TN
105,2,23,TN
106,2,24,TN
107,2,25,TN
108,2,26,TN
109,2,27,TN
110,2,28,TN
111,2,29,TN
112,2,30,TN
113,2,31,TN
114,2,32,TN
115,2,33,TN
116,2,34,TN
117,2,35,TN
118,2,36,TN
119,2,37,TN
120,2,38,TN
121,2,39,TN
122,2,40,TN
123,3,0,FP
124,3,1,FP
125,3,2,FP
126,3,3,FP
127,3,4,FP
128,3,5,FP
129,3,6,FP
130,3,7,FP
131,3,8,FP
132,3,9,FP
133,3,10,FP
134,3,11,FP
135,3,12,FP
136,3,13,FP
137,3,14,FP
138,3,15,FP
139,3,16,FP
140,3,17,FP
141,3,18,FP
142,3,19,FP
143,3,20,FP
144,3,21,FP
145,3,22,FP
146,3,23,FP
147,3,24,TN
148,3,25,TN
149,3,26,TN
150,3,27,TN
151,3,28,TN
152,3,29,TN
153,3,30,TN
154,3,31,TN
155,3,32,TN
156,3,33,TN
157,3,34,TN
158,3,35,TN
159,3,36,TN
160,3,37,TN
161,3,38,TN
162,3,39,TN
163,3,40,TN
164,4,0,FP
165,4,1,FP
166,4,2,FP
167,4,3,FP
168,4,4,FP
169,4,5,FP
170,4,6,FP
171,4,7,FP
172,4,8,FP
173,4,9,FP
174,4,10,FP
175,4,11,FP
176,4,12,FP
177,4,13,FP
178,4,14,FP
179,4,15,FP
180,4,16,FP
181,4,17,FP
182,4,18,FP
183,4,19,TN
184,4,20,TN
185,4,21,TN
186,4,22,TN
187,4,23,TN
188,4,24,TN
189,4,25,TN
190,4,26,TN
191,4,27,TN
192,4,28,TN
193,4,29,TN
194,4,30,TN
195,4,31,TN
196,4,32,TN
197,4,33,TN
198,4,34,TN
199,4,35,TN
200,4,36,TN
201,4,37,TN
202,4,38,TN
203,4,39,TN
204,4,40,TN
205,5,0,TP
206,5,1,TP
207,5,2,TP
208,5,3,TP
209,5,4,TP
210,5,5,TP
211,5,6,TP
212,5,7,TP
213,5,8,TP
214,5,9,TP
215,5,10,TP
216,5,11,TP
217,5,12,TP
218,5,13,TP
219,5,14,TP
220,5,15,TP
221,5,16,TP
222,5,17,TP
223,5,18,TP
224,5,19,TP
225,5,20,TP
226,5,21,TP
227,5,22,TP
228,5,23,TP
229,5,24,TP
230,5,25,TP
231,5,26,TP
232,5,27,TP
233,5,28,TP
234,5,29,TP
235,5,30,TP
236,5,31,TP
237,5,32,TP
238,5,33,TP
239,5,34,TP
240,5,35,TP
241,5,36,TP
242,5,37,TP
243,5,38,TP
244,5,39,FN
245,5,40,FN
246,6,0,TP
247,6,1,TP
248,6,2,TP
249,6,3,TP
250,6,4,TP
251,6,5,TP
252,6,6,TP
253,6,7,TP
254,6,8,TP
255,6,9,TP
256,6,10,TP
257,6,11,TP
258,6,12,TP
259,6,13,TP
260,6,14,TP
261,6,15,TP
262,6,16,TP
263,6,17,TP
264,6,18,TP
265,6,19,TP
266,6,20,TP
267,6,21,TP
268,6,22,TP
269,6,23,TP
270,6,24,TP
271,6,25,TP
272,6,26,TP
273,6,27,TP
274,6,28,TP
275,6,29,TP
276,6,30,TP
277,6,31,TP
278,6,32,FN
279,6,33,FN
280,6,34,FN
281,6,35,FN
282,6,36,FN
283,6,37,FN
284,6,38,FN
285,6,39,FN
286,6,40,FN
287,7,0,FP
288,7,1,FP
289,7,2,FP
290,7,3,FP
291,7,4,FP
292,7,5,FP
293,7,6,FP
294,7,7,FP
295,7,8,FP
296,7,9,FP
297,7,10,FP
298,7,11,FP
299,7,12,FP
300,7,13,FP
301,7,14,FP
302,7,15,FP
303,7,16,FP
304,7,17,FP
305,7,18,TN
306,7,19,TN
307,7,20,TN
308,7,21,TN
309,7,22,TN
310,7,23,TN
311,7,24,TN
312,7,25,TN
313,7,26,TN
314,7,27,TN
315,7,28,TN
316,7,29,TN
317,7,30,TN
318,7,31,TN
319,7,32,TN
320,7,33,TN
321,7,34,TN
322,7,35,TN
323,7,36,TN
324,7,37,TN
325,7,38,TN
326,7,39,TN
327,7,40,TN
328,8,0,FP
329,8,1,FP
330,8,2,FP
331,8,3,FP
332,8,4,FP
333,8,5,FP
334,8,6,FP
335,8,7,FP
336,8,8,FP
337,8,9,FP
338,8,10,FP
339,8,11,FP
340,8,12,FP
341,8,13,FP
342,8,14,FP
343,8,15,FP
344,8,16,FP
345,8,17,FP
346,8,18,TN
347,8,19,TN
348,8,20,TN
349,8,21,TN
350,8,22,TN
351,8,23,TN
352,8,24,TN
353,8,25,TN
354,8,26,TN
355,8,27,TN
356,8,28,TN
357,8,29,TN
358,8,30,TN
359,8,31,TN
360,8,32,TN
361,8,33,TN
362,8,34,TN
363,8,35,TN
364,8,36,TN
365,8,37,TN
366,8,38,TN
367,8,39,TN
368,8,40,TN
369,9,0,FP
370,9,1,FP
371,9,2,FP
372,9,3,FP
373,9,4,FP
374,9,5,FP
375,9,6,FP
376,9,7,FP
377,9,8,FP
378,9,9,FP
379,9,10,FP
380,9,11,FP
381,9,12,FP
382,9,13,FP
383,9,14,FP
384,9,15,FP
385,9,16,FP
386,9,17,FP
387,9,18,FP
388,9,19,FP
389,9,20,FP
390,9,21,FP
391,9,22,FP
392,9,23,FP
393,9,24,FP
394,9,25,TN
395,9,26,TN
396,9,27,TN
397,9,28,TN
398,9,29,TN
399,9,30,TN
400,9,31,TN
401,9,32,TN
402,9,33,TN
403,9,34,TN
404,9,35,TN
405,9,36,TN
406,9,37,TN
407,9,38,TN
408,9,39,TN
409,9,40,TN
410,10,0,FP
411,10,1,FP
412,10,2,FP
413,10,3,FP
414,10,4,FP
415,10,5,FP
416,10,6,FP
417,10,7,FP
418,10,8,FP
419,10,9,FP
420,10,10,FP
421,10,11,FP
422,10,12,FP
423,10,13,FP
424,10,14,FP
425,10,15,FP
426,10,16,FP
427,10,17,FP
428,10,18,TN
429,10,19,TN
430,10,20,TN
431,10,21,TN
432,10,22,TN
433,10,23,TN
434,10,24,TN
435,10,25,TN
436,10,26,TN
437,10,27,TN
438,10,28,TN
439,10,29,TN
440,10,30,TN
441,10,31,TN
442,10,32,TN
443,10,33,TN
444,10,34,TN
445,10,35,TN
446,10,36,TN
447,10,37,TN
448,10,38,TN
449,10,39,TN
450,10,40,TN
451,11,0,FP
452,11,1,FP
453,11,2,FP
454,11,3,FP
455,11,4,TN
456,11,5,TN
457,11,6,TN
458,11,7,TN
459,11,8,TN
460,11,9,TN
461,11,10,TN
462,11,11,TN
463,11,12,TN
464,11,13,TN
465,11,14,TN
466,11,15,TN
467,11,16,TN
468,11,17,TN
469,11,18,TN
470,11,19,TN
471,11,20,TN
472,11,21,TN
473,11,22,TN
474,11,23,TN
475,11,24,TN
476,11,25,TN
477,11,26,TN
478,11,27,TN
479,11,28,TN
480,11,29,TN
481,11,30,TN
482,11,31,TN
483,11,32,TN
484,11,33,TN
485,11,34,TN
486,11,35,TN
487,11,36,TN
488,11,37,TN
489,11,38,TN
490,11,39,TN
491,11,40,TN
492,12,0,TP
493,12,1,TP
494,12,2,TP
495,12,3,TP
496,12,4,TP
497,12,5,TP
498,12,6,TP
499,12,7,TP
500,12,8,TP
501,12,9,TP
502,12,10,TP
503,12,11,TP
504,12,12,TP
505,12,13,TP
506,12,14,TP
507,12,15,TP
508,12,16,TP
509,12,17,TP
510,12,18,TP
511,12,19,TP
512,12,20,TP
513,12,21,TP
514,12,22,TP
515,12,23,TP
516,12,24,TP
517,12,25,TP
518,12,26,TP
