,prec,rec,acc,f1,TP,TN,FP,FN
0,0.253999999999746,0.999999999996063,0.253999999999746,0.4051036679378677,254,0,746,0
1,0.253999999999746,0.999999999996063,0.253999999999746,0.4051036679378677,254,0,746,0
2,0.4018987341765793,0.999999999996063,0.621999999999378,0.5733634307409566,254,368,378,0
3,0.999999999996063,0.999999999996063,0.999999999999,0.9999999994960631,254,746,0,0
4,0.999999999996063,0.999999999996063,0.999999999999,0.9999999994960631,254,746,0,0
5,0.9999999999958507,0.9488188976340598,0.986999999999013,0.9737373732337843,241,746,0,13
6,0.9999999999952831,0.8346456692880526,0.9579999999990421,0.9098712441353497,212,746,0,42
7,0.999999999994924,0.7755905511780489,0.942999999999057,0.8736141901914739,197,746,0,57
8,0.9999999999945055,0.7165354330680451,0.927999999999072,0.8348623848309065,182,746,0,72
9,0.999999999994083,0.6653543307060419,0.914999999999085,0.7990543730388701,169,746,0,85
10,0.9999999999938273,0.6377952755880402,0.907999999999092,0.7788461533668639,162,746,0,92
11,0.9999999999936307,0.618110236218039,0.902999999999097,0.7639902671640353,157,746,0,97
12,0.9999999999925374,0.5275590551160333,0.87999999999912,0.6907216490288023,134,746,0,120
13,0.999999999992126,0.4999999999980315,0.872999999999127,0.6666666662187226,127,746,0,127
14,0.9999999999916667,0.4724409448800298,0.865999999999134,0.6417112295072779,120,746,0,134
15,0.99999999999,0.39370078740002484,0.845999999999154,0.5649717510038622,100,746,0,154
16,0.9999999999878049,0.32283464566802034,0.827999999999172,0.488095237723356,82,746,0,172
17,0.9999999999863013,0.2874015748020181,0.818999999999181,0.4464831800785942,73,746,0,181
18,0.9999999999824563,0.22440944881801414,0.802999999999197,0.36655948522881276,57,746,0,197
19,0.9999999999750001,0.15748031496000992,0.785999999999214,0.27210884330047663,40,746,0,214
20,0.9999999999655173,0.1141732283460072,0.774999999999225,0.20494699628103735,29,746,0,225
21,0.999999999952381,0.08267716535400521,0.766999999999233,0.15272727258509752,21,746,0,233
22,0.9999999999090909,0.04330708661400273,0.7569999999992431,0.08301886784432896,11,746,0,243
23,0.0,0.0,0.745999999999254,0.0,0,746,0,254
