,i,g,status
0,0,0,FP
1,0,1,FP
2,0,2,FP
3,0,3,FP
4,0,4,FP
5,0,5,FP
6,0,6,TN
7,0,7,TN
8,0,8,TN
9,0,9,TN
10,0,10,TN
11,0,11,TN
12,0,12,TN
13,0,13,TN
14,0,14,TN
15,0,15,TN
16,0,16,TN
17,0,17,TN
18,0,18,TN
19,0,19,TN
20,0,20,TN
21,1,0,FP
22,1,1,FP
23,1,2,FP
24,1,3,TN
25,1,4,TN
26,1,5,TN
27,1,6,TN
28,1,7,TN
29,1,8,TN
30,1,9,TN
31,1,10,TN
32,1,11,TN
33,1,12,TN
34,1,13,TN
35,1,14,TN
36,1,15,TN
37,1,16,TN
38,1,17,TN
39,1,18,TN
40,1,19,TN
41,1,20,TN
42,2,0,FP
43,2,1,FP
44,2,2,FP
45,2,3,FP
46,2,4,FP
47,2,5,FP
48,2,6,FP
49,2,7,TN
50,2,8,TN
51,2,9,TN
52,2,10,TN
53,2,11,TN
54,2,12,TN
55,2,13,TN
56,2,14,TN
57,2,15,TN
58,2,16,TN
59,2,17,TN
60,2,18,TN
61,2,19,TN
62,2,20,TN
63,3,0,FP
64,3,1,FP
65,3,2,FP
66,3,3,FP
67,3,4,FP
68,3,5,FP
69,3,6,TN
70,3,7,TN
71,3,8,TN
72,3,9,TN
73,3,10,TN
74,3,11,TN
75,3,12,TN
76,3,13,TN
77,3,14,TN
78,3,15,TN
79,3,16,TN
80,3,17,TN
81,3,18,TN
82,3,19,TN
83,3,20,TN
84,4,0,FP
85,4,1,FP
86,4,2,FP
87,4,3,TN
88,4,4,TN
89,4,5,TN
90,4,6,TN
91,4,7,TN
92,4,8,TN
93,4,9,TN
94,4,10,TN
95,4,11,TN
96,4,12,TN
97,4,13,TN
98,4,14,TN
99,4,15,TN
100,4,16,TN
101,4,17,TN
102,4,18,TN
103,4,19,TN
104,4,20,TN
105,5,0,TP
106,5,1,TP
107,5,2,TP
108,5,3,TP
109,5,4,TP
