,prec,rec,acc,f1,TP,TN,FP,FN
0,0.277999999999722,0.9999999999964029,0.277999999999722,0.43505477274184284,278,0,722,0
1,0.2788365095283061,0.9999999999964029,0.28099999999971903,0.4360784310308687,278,3,719,0
2,0.3018458197608015,0.9999999999964029,0.356999999999643,0.4637197661150847,278,79,643,0
3,0.35567010309232516,0.9928057553921122,0.497999999999502,0.5237191646960166,276,222,500,2
4,0.39764359351929657,0.9712230215792402,0.582999999999417,0.5642633224706213,270,313,409,8
5,0.46812386156563185,0.924460431651351,0.686999999999313,0.6215235787541221,257,430,292,21
6,0.6068796068781158,0.8884892086298976,0.808999999999191,0.7211678827273056,247,562,160,31
7,0.9999999999956333,0.8237410071912815,0.950999999999049,0.903353056700318,229,722,0,49
8,0.9999999999951924,0.7482014388462295,0.92999999999907,0.8559670776961508,208,722,0,70
9,0.9999999999948719,0.7014388489183402,0.916999999999083,0.8245243124083155,195,722,0,83
10,0.9999999999944446,0.6474820143861602,0.901999999999098,0.7860262003928224,180,722,0,98
11,0.9999999999938651,0.5863309352496895,0.884999999999115,0.739229024473959,163,722,0,115
12,0.9999999999929579,0.5107913669046374,0.863999999999136,0.6761904757396826,142,722,0,136
13,0.9999999999915966,0.42805755395529477,0.840999999999159,0.59949622123965,119,722,0,159
14,0.9999999999906541,0.38489208632955074,0.828999999999171,0.5558441554399055,107,722,0,171
15,0.9999999999892473,0.3345323740995161,0.814999999999185,0.5013477085165031,93,722,0,185
16,0.9999999999864865,0.26618705035875473,0.795999999999204,0.42045454512009295,74,722,0,204
17,0.9999999999795919,0.1762589928051214,0.770999999999229,0.2996941893458276,49,722,0,229
18,0.9999999999722223,0.12949640287723202,0.7579999999992421,0.22929936285285407,36,722,0,242
19,0.99999999996,0.08992805755363335,0.746999999999253,0.1650165014976745,25,722,0,253
20,0.0,0.0,0.721999999999278,0.0,0,722,0,278
