,i,g,status
0,0,0,FP
1,0,1,FP
2,0,2,FP
3,0,3,TN
4,0,4,TN
5,0,5,TN
6,0,6,TN
7,0,7,TN
8,0,8,TN
9,0,9,TN
10,0,10,TN
11,0,11,TN
12,0,12,TN
13,0,13,TN
14,0,14,TN
15,0,15,TN
16,0,16,TN
17,0,17,TN
18,0,18,TN
19,0,19,TN
20,0,20,TN
21,0,21,TN
22,0,22,TN
23,0,23,TN
24,1,0,FP
25,1,1,FP
26,1,2,TN
27,1,3,TN
28,1,4,TN
29,1,5,TN
30,1,6,TN
31,1,7,TN
32,1,8,TN
33,1,9,TN
34,1,10,TN
35,1,11,TN
36,1,12,TN
37,1,13,TN
38,1,14,TN
39,1,15,TN
40,1,16,TN
41,1,17,TN
42,1,18,TN
43,1,19,TN
44,1,20,TN
45,1,21,TN
46,1,22,TN
47,1,23,TN
48,2,0,FP
49,2,1,FP
50,2,2,FP
51,2,3,TN
52,2,4,TN
53,2,5,TN
54,2,6,TN
55,2,7,TN
56,2,8,TN
57,2,9,TN
58,2,10,TN
59,2,11,TN
60,2,12,TN
61,2,13,TN
62,2,14,TN
63,2,15,TN
64,2,16,TN
65,2,17,TN
66,2,18,TN
67,2,19,TN
68,2,20,TN
69,2,21,TN
70,2,22,TN
71,2,23,TN
72,3,0,FP
73,3,1,FP
74,3,2,FP
75,3,3,TN
76,3,4,TN
77,3,5,TN
78,3,6,TN
79,3,7,TN
80,3,8,TN
81,3,9,TN
82,3,10,TN
83,3,11,TN
84,3,12,TN
85,3,13,TN
86,3,14,TN
87,3,15,TN
88,3,16,TN
89,3,17,TN
90,3,18,TN
91,3,19,TN
92,3,20,TN
93,3,21,TN
94,3,22,TN
95,3,23,TN
96,4,0,FP
97,4,1,FP
98,4,2,TN
99,4,3,TN
100,4,4,TN
101,4,5,TN
102,4,6,TN
103,4,7,TN
104,4,8,TN
105,4,9,TN
106,4,10,TN
107,4,11,TN
108,4,12,TN
109,4,13,TN
