,i,g,status
0,0,0,FP
1,0,1,FP
2,0,2,TN
3,0,3,TN
4,0,4,TN
5,0,5,TN
6,0,6,TN
7,0,7,TN
8,0,8,TN
9,0,9,TN
10,0,10,TN
11,0,11,TN
12,0,12,TN
13,0,13,TN
14,0,14,TN
15,0,15,TN
16,0,16,TN
17,0,17,TN
18,0,18,TN
19,0,19,TN
20,0,20,TN
21,1,0,FP
22,1,1,FP
23,1,2,FP
24,1,3,FP
25,1,4,FP
26,1,5,TN
27,1,6,TN
28,1,7,TN
29,1,8,TN
30,1,9,TN
31,1,10,TN
32,1,11,TN
33,1,12,TN
34,1,13,TN
35,1,14,TN
36,1,15,TN
37,1,16,TN
38,1,17,TN
39,1,18,TN
40,1,19,TN
41,1,20,TN
42,2,0,FP
43,2,1,FP
44,2,2,FP
45,2,3,TN
46,2,4,TN
47,2,5,TN
48,2,6,TN
49,2,7,TN
50,2,8,TN
51,2,9,TN
52,2,10,TN
53,2,11,TN
54,2,12,TN
55,2,13,TN
56,2,14,TN
57,2,15,TN
58,2,16,TN
59,2,17,TN
60,2,18,TN
61,2,19,TN
62,2,20,TN
63,3,0,TP
64,3,1,TP
65,3,2,TP
66,3,3,TP
67,3,4,TP
68,3,5,TP
69,3,6,TP
70,3,7,TP
71,3,8,TP
72,3,9,TP
73,3,10,TP
74,3,11,TP
75,3,12,TP
76,3,13,TP
77,3,14,TP
78,3,15,TP
79,3,16,TP
80,3,17,TP
81,3,18,TP
82,3,19,FN
83,3,20,FN
84,4,0,TP
85,4,1,TP
86,4,2,TP
87,4,3,TP
88,4,4,TP
89,4,5,TP
90,4,6,TP
91,4,7,TP
92,4,8,TP
93,4,9,TP
94,4,10,TP
95,4,11,TP
96,4,12,TP
97,4,13,FN
98,4,14,FN
99,4,15,FN
100,4,16,FN
101,4,17,FN
102,4,18,FN
103,4,19,FN
104,4,20,FN
105,5,0,FP
106,5,1,FP
107,5,2,FP
108,5,3,FP
109,5,4,FP
