,unknown,#occ,length
26,"('31f4c9f96bc929514ea10383a17ed8d514f28987', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '8767b63e7c38815d76f00c3ed75c063991300a0f', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987')",1,5
27,"('31f4c9f96bc929514ea10383a17ed8d514f28987', '9c856f1e6012ee6a1c03b2a7867c75523872938d', 'f1b299be0a77904608177cd35648f885e4cf7bec', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '202f46dd234fb569bac92876b558af9634d6ae1e')",1,5
28,"('31f4c9f96bc929514ea10383a17ed8d514f28987', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,6
29,"('31f4c9f96bc929514ea10383a17ed8d514f28987', 'f1b299be0a77904608177cd35648f885e4cf7bec', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '202f46dd234fb569bac92876b558af9634d6ae1e', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '32d9cc68795b0a82938893f6563e87deb4806d78')",2,7
30,"('563ac0c674eb31fe2a5f9fc733717da64f5e7655', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987')",1,3
31,"('563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '32d9cc68795b0a82938893f6563e87deb4806d78')",23,3
32,"('563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '32d9cc68795b0a82938893f6563e87deb4806d78', '0404eb74d7bcf0a16319da46e4e0eadc201837f0', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,9
33,"('563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '32d9cc68795b0a82938893f6563e87deb4806d78', '2b9685484e0601ef482a046880fd96a7838416da', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,9
34,"('563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '32d9cc68795b0a82938893f6563e87deb4806d78', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",1,4
35,"('563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '32d9cc68795b0a82938893f6563e87deb4806d78', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",1,5
36,"('563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '32d9cc68795b0a82938893f6563e87deb4806d78', '8767b63e7c38815d76f00c3ed75c063991300a0f')",2,4
37,"('563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '32d9cc68795b0a82938893f6563e87deb4806d78', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '2b9685484e0601ef482a046880fd96a7838416da')",1,9
38,"('6e9d50b72cf5639a164d0120e06f889b5056bef6',)",10,1
39,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",5,2
40,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '0404eb74d7bcf0a16319da46e4e0eadc201837f0', '8767b63e7c38815d76f00c3ed75c063991300a0f', '2b9685484e0601ef482a046880fd96a7838416da', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,9
41,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '1bb141175d58caf6d83e171ae624a55c7231f7f0')",1,2
42,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '1bb141175d58caf6d83e171ae624a55c7231f7f0', '2b9685484e0601ef482a046880fd96a7838416da')",1,3
43,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987')",4,2
