,workflow,#occ,length
0,"('7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', '7b2c85e1fcc5152dc8684e703417fe6de95ed280', '8432d08cd52c004777fa48eb8d03d64c5ff0c2aa')",2439,7
1,"('7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', '7b2c85e1fcc5152dc8684e703417fe6de95ed280', '8432d08cd52c004777fa48eb8d03d64c5ff0c2aa', '7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', '7b2c85e1fcc5152dc8684e703417fe6de95ed280', '8432d08cd52c004777fa48eb8d03d64c5ff0c2aa', '7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db')",35,19
2,"('7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', 'c040e113046991d1149bcae6238efe5056b4d342', '8c4f8c4f67fff4fecdd70ea99d5f4f8c1f988ae5', 'b3ba443ec5b36327ca67105e50ff68fefa5f46f1', 'c0b3273ffb8fa3f938b786df4a9f4380363cb08c', '01c2a96a19de585b5c77122ce87c91fe06bffc2e', '9522387bfe9977f590e41c4528c5e04dfcb1741e')",488,11
3,"('7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', 'c040e113046991d1149bcae6238efe5056b4d342', '8c4f8c4f67fff4fecdd70ea99d5f4f8c1f988ae5', 'b3ba443ec5b36327ca67105e50ff68fefa5f46f1', 'c0b3273ffb8fa3f938b786df4a9f4380363cb08c', '01c2a96a19de585b5c77122ce87c91fe06bffc2e', '9522387bfe9977f590e41c4528c5e04dfcb1741e', 'abd5b7116ab7332826607043cc99740a7cc7116f', '7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', '7b2c85e1fcc5152dc8684e703417fe6de95ed280', '8432d08cd52c004777fa48eb8d03d64c5ff0c2aa')",144,19
4,"('7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', 'fa7b33dd2e5ada49318f42e590958b05fe2e3d1d', 'b7ded45f3c16b05f6f5cdace9182bba4a3d6bcc8', 'fa21a47c6e1f0d9f1516d2461928d8c791597930')",483,8
5,"('7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', 'fa7b33dd2e5ada49318f42e590958b05fe2e3d1d', 'b7ded45f3c16b05f6f5cdace9182bba4a3d6bcc8', 'fa21a47c6e1f0d9f1516d2461928d8c791597930', 'abd5b7116ab7332826607043cc99740a7cc7116f', '7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', '7b2c85e1fcc5152dc8684e703417fe6de95ed280', '8432d08cd52c004777fa48eb8d03d64c5ff0c2aa')",139,16
6,"('abd5b7116ab7332826607043cc99740a7cc7116f', '7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', '7b2c85e1fcc5152dc8684e703417fe6de95ed280', '8432d08cd52c004777fa48eb8d03d64c5ff0c2aa', '7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', '7b2c85e1fcc5152dc8684e703417fe6de95ed280', '8432d08cd52c004777fa48eb8d03d64c5ff0c2aa', '7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db')",24,20
7,"('abd5b7116ab7332826607043cc99740a7cc7116f', '7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', 'c040e113046991d1149bcae6238efe5056b4d342', '8c4f8c4f67fff4fecdd70ea99d5f4f8c1f988ae5', 'b3ba443ec5b36327ca67105e50ff68fefa5f46f1', 'c0b3273ffb8fa3f938b786df4a9f4380363cb08c', '01c2a96a19de585b5c77122ce87c91fe06bffc2e', '9522387bfe9977f590e41c4528c5e04dfcb1741e')",315,12
8,"('abd5b7116ab7332826607043cc99740a7cc7116f', '7a42b98d8c04ce24a5d2bf67193a4ddbbff82de3', '09870a45a787281f36754fc70f7cd3ab61f1b0a4', 'a7097c0418dace8bddaaf881218d7f647f0f3cbd', 'abd5b7116ab7332826607043cc99740a7cc7116f', '91fe1bd60855b4277a70e9cce564efbce00cf9db', 'fa7b33dd2e5ada49318f42e590958b05fe2e3d1d', 'b7ded45f3c16b05f6f5cdace9182bba4a3d6bcc8', 'fa21a47c6e1f0d9f1516d2461928d8c791597930')",325,9
