,text,cls
102,2c9bfc22c7a5701bed45949d55208fe2228e0dd3,2
103,7686a20dda1833f105121170f5cb1aa7f9c46fd7,1
104,35f56238ece0abe440b004ec7136027242e774fd,2
105,84c8b239d504e7cfdd80f15c41a570bfdacfbe8b,1
106,7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08,2
107,2c9bfc22c7a5701bed45949d55208fe2228e0dd3,3
108,5218d8668c0e42db7d47ad12f048f100edb0141d,1
109,f23f1b4ca52733e332b1af61349998e457ec12a2,2
110,f1f19dbcc6921179177669dfbd7e909a700fc435,1
111,84999ea17bfaf3533def73900f02ba85471b4c47,2
112,9da7939eb44967af092c2bd3eec2c3188691d2d8,3
113,098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4,4
114,d9190728b3c213e38e307956bd231808020703f3,5
115,36c071f7122a7e4509b035cd35f247e481b6c372,1
116,b0128976be12239515a2cd72aaa3149a0af0200f,2
117,02409a0ab216846173b48ec37f761e65a92ebdb8,3
118,a2d7aff4a1e8381d7c8e582a0439ede6d13c7856,1
119,c12f4ad4120036667c85ed44c2273eb5ef9aa6d5,2
120,86fc94b906e47e847e63940dd68f8aa8690bad9c,1
121,ef9f99a06c438dac739fb40bf57172f2e2d7bf88,2
122,b084bc633285e4a1f622a17f25f1eaee6a665f58,3
123,6e9d50b72cf5639a164d0120e06f889b5056bef6,4
124,84c8b239d504e7cfdd80f15c41a570bfdacfbe8b,5
125,d9190728b3c213e38e307956bd231808020703f3,6
126,35f56238ece0abe440b004ec7136027242e774fd,7
127,7686a20dda1833f105121170f5cb1aa7f9c46fd7,8
128,7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08,1
129,86fc94b906e47e847e63940dd68f8aa8690bad9c,2
130,ef9f99a06c438dac739fb40bf57172f2e2d7bf88,1
131,b084bc633285e4a1f622a17f25f1eaee6a665f58,2
132,098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4,3
133,5218d8668c0e42db7d47ad12f048f100edb0141d,1
134,f23f1b4ca52733e332b1af61349998e457ec12a2,2
135,f1f19dbcc6921179177669dfbd7e909a700fc435,3
136,84999ea17bfaf3533def73900f02ba85471b4c47,4
137,9da7939eb44967af092c2bd3eec2c3188691d2d8,5
138,36c071f7122a7e4509b035cd35f247e481b6c372,1
139,b0128976be12239515a2cd72aaa3149a0af0200f,2
140,02409a0ab216846173b48ec37f761e65a92ebdb8,3
141,a2d7aff4a1e8381d7c8e582a0439ede6d13c7856,4
142,c12f4ad4120036667c85ed44c2273eb5ef9aa6d5,1
143,2c9bfc22c7a5701bed45949d55208fe2228e0dd3,2
144,5218d8668c0e42db7d47ad12f048f100edb0141d,3
145,f23f1b4ca52733e332b1af61349998e457ec12a2,4
146,84c8b239d504e7cfdd80f15c41a570bfdacfbe8b,5
147,7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08,6
148,7686a20dda1833f105121170f5cb1aa7f9c46fd7,1
149,86fc94b906e47e847e63940dd68f8aa8690bad9c,2
150,ef9f99a06c438dac739fb40bf57172f2e2d7bf88,3
